tile_num,GeoTIFF,geometry,S2 Tile Name
2891,boreal_agb_202302061675666250_2891.tif,"POLYGON ((128.72576075100005 65.13340790900003, 130.04102723000005 64.55251997100004, 128.66740751300006 64.00759120000004, 127.34980388000008 64.57691219700007, 128.72576075100005 65.13340790900003))",52WET
2892,boreal_agb_202302061675663598_2892.tif,"POLYGON ((130.1578372990001 65.67822887200003, 131.46833610200008 65.08550044500004, 130.04102723000005 64.55251997100004, 128.72576075100005 65.13340790900003, 130.1578372990001 65.67822887200003))",52WET
2976,boreal_agb_202302061675666264_2976.tif,"POLYGON ((131.46833610200008 65.08550044500004, 132.72329021100006 64.48312654600005, 131.30259738300003 63.961610488000076, 130.04102723000005 64.55251997100004, 131.46833610200008 65.08550044500004))",52WET
2812,boreal_agb_202302061675675221_2812.tif,"POLYGON ((128.78908913600003 66.26070883300008, 130.1578372990001 65.67822887200003, 128.72576075100005 65.13340790900003, 127.3543704440001 65.70367263100007, 128.78908913600003 66.26070883300008))",52WEU
2893,boreal_agb_202302061675669618_2893.tif,"POLYGON ((131.64815441100006 66.21068197700004, 132.9511780460001 65.60585613300003, 131.46833610200008 65.08550044500004, 130.1578372990001 65.67822887200003, 131.64815441100006 66.21068197700004))",52WEU
2813,boreal_agb_202302061675667372_2813.tif,"POLYGON ((130.28480865500012 66.80568093800008, 131.64815441100006 66.21068197700004, 130.1578372990001 65.67822887200003, 128.78908913600003 66.26070883300008, 130.28480865500012 66.80568093800008))",52WEU
2733,boreal_agb_202302061675663351_2733.tif,"POLYGON ((128.85805713900004 67.39019672700005, 130.28480865500012 66.80568093800008, 128.78908913600003 66.26070883300008, 127.35933503500007 66.83228432800007, 128.85805713900004 67.39019672700005))",52WEU
2814,boreal_agb_202302061675668155_2814.tif,"POLYGON ((131.8439230570001 67.33782724300005, 133.19877934800002 66.73002438500004, 131.64815441100006 66.21068197700004, 130.28480865500012 66.80568093800008, 131.8439230570001 67.33782724300005))",52WEU
2813,boreal_agb_202302061675667372_2813.tif,"POLYGON ((130.28480865500012 66.80568093800008, 131.64815441100006 66.21068197700004, 130.1578372990001 65.67822887200003, 128.78908913600003 66.26070883300008, 130.28480865500012 66.80568093800008))",52WEV
2733,boreal_agb_202302061675663351_2733.tif,"POLYGON ((128.85805713900004 67.39019672700005, 130.28480865500012 66.80568093800008, 128.78908913600003 66.26070883300008, 127.35933503500007 66.83228432800007, 128.85805713900004 67.39019672700005))",52WEV
2814,boreal_agb_202302061675668155_2814.tif,"POLYGON ((131.8439230570001 67.33782724300005, 133.19877934800002 66.73002438500004, 131.64815441100006 66.21068197700004, 130.28480865500012 66.80568093800008, 131.8439230570001 67.33782724300005))",52WEV
2734,boreal_agb_202302061675669246_2734.tif,"POLYGON ((130.42332644600003 67.93562327800004, 131.8439230570001 67.33782724300005, 130.28480865500012 66.80568093800008, 128.85805713900004 67.39019672700005, 130.42332644600003 67.93562327800004))",52WEV
2735,boreal_agb_202302061675664784_2735.tif,"POLYGON ((132.0578589700001 68.46772352500005, 133.46876003800003 67.85632878400008, 131.8439230570001 67.33782724300005, 130.42332644600003 67.93562327800004, 132.0578589700001 68.46772352500005))",52WEV
2656,boreal_agb_202302061675660693_2656.tif,"POLYGON ((128.93345304000002 68.52269661500003, 130.42332644600003 67.93562327800004, 128.85805713900004 67.39019672700005, 127.36475206300008 67.96351215300007, 128.93345304000002 68.52269661500003))",52WEV
3972,boreal_agb_202302061675671579_3972.tif,"POLYGON ((132.1861258140001 53.75982483300004, 133.07064377200004 53.14844959700008, 132.04708115300002 52.62681110600005, 131.1586060610001 53.23081257300004, 132.1861258140001 53.75982483300004))",52UFD
